ticker,fiscal_year,filing_date,accession_number,source_file,total_net_revenue,net_interest_income,noninterest_revenue,total_noninterest_expense,pre_provision_profit,provision_credit_losses,income_before_tax,net_income,eps_basic,eps_diluted,efficiency_ratio,total_assets,total_liabilities,total_equity,total_loans_gross,allowance_loan_losses,net_loans,total_deposits,long_term_debt,short_term_borrowings,trading_assets,investment_securities_afs,investment_securities_htm,cash_due_from_banks,tier1_capital,tier1_capital_ratio,total_capital_ratio,tier1_leverage_ratio,cet1_ratio,rwa,tbvps,bvps,roe,roa,rotce,nim,net_charge_offs,net_charge_off_rate,npl,npa,npl_ratio,allowance_coverage_ratio,derivatives_notional,level1_assets,level2_assets,level3_assets,level3_pct_assets,var_value
C,2018,2019-02-22,0000831001-19-000027,2019-02-22_0000831001-19-000027.htm,,,,,,7354.0,123.0,18080.0,,,57.4,1917383.0,432139.0,,2.26,305631.0,671881.0,1013170.0,231999.0,491.0,615.0,,,23645.0,,12.3,,8.34,11.5,1131933.0,63.79,75.05,,0.94,11.0,95.0,169.0,0.025153263747598163,,,,,,,,,,102.0
C,2019,2020-02-21,0000831001-20-000031,2020-02-21_0000831001-20-000031.htm,,,,,,8218.0,,19467.0,,,56.5,1951158.0,406899.0,,2.6,290270.0,686700.0,1070590.0,248760.0,417.0,818.0,,,23967.0,,10.0,,4.0,11.5,1135553.0,70.39,82.9,,0.98,12.1,93.0,392.0,0.05708460754332313,,,,,,,,,,100.0
C,2020,2021-02-26,0000831001-21-000042,2021-02-26_0000831001-21-000042.htm,,,,,,1.0,,11087.0,,,58.1,2260090.0,433573.0,,264.0,12783.0,650927.0,1280671.0,271686.0,25507.0,555.0,,,26349.0,,10.0,13.5,4.0,11.7,1255284.0,73.67,86.43,,0.5,6.6,103.0,986.0,0.15147627921410542,,,,,,,,,,111.0
C,2021,2022-02-28,0000831001-22-000036,2022-02-28_0000831001-22-000036.htm,,42494.0,,,,-777.0,306.0,22025.0,,,67.0,2291413.0,1761533.0,,393681.0,14209.0,651312.0,1317230.0,254374.0,27309.0,945.0,,,27515.0,,10.0,13.5,4.0,12.2,1209374.0,79.16,92.21,,0.94,13.4,104.0,,,,,,,,,,,,111.0
C,2022,2023-02-27,0000831001-23-000037,2023-02-27_0000831001-23-000037.htm,,48668.0,,,,5.0,,14845.0,,,68.1,2416676.0,1729908.0,,279337.0,13426.0,640247.0,1365954.0,271606.0,34785.0,576.0,,,30577.0,,11.5,10.0,4.0,10.0,1221538.0,81.65,94.06,,0.62,8.9,98.0,,,,,,,,,,,,107.0
C,2023,2024-02-23,0000831001-24-000033,2024-02-23_0000831001-24-000033.htm,,54900.0,,,,1.0,,9228.0,,,71.8,2411834.0,2234346.0,,84321.0,13703.0,671217.0,1308681.0,286619.0,124.0,648.0,,,27000.0,,12.0,10.5,4.0,10.5,1268723.0,86.19,98.71,,0.38,4.9,104.0,,,,,,,,,,,,115.0
C,2024,2025-02-21,0000831001-25-000067,2025-02-21_0000831001-25-000067.htm,,54095.0,,,,17.0,,12682.0,,,66.5,2352945.0,2260351.0,,87596.0,13560.0,675914.0,1284458.0,287300.0,117.0,26441.0,,,30000.0,,12.0,10.5,4.0,12.14,1280190.0,89.34,101.62,,0.51,7.0,2.4,,,,,,,,,,,,126.0
C,2025,2026-02-20,0000831001-26-000011,2026-02-20_0000831001-26-000011.htm,,59792.0,,,,-17.0,119.0,14306.0,,,64.7,2657202.0,2443380.0,,732983.0,14311.0,732983.0,1403573.0,315827.0,51878.0,25243.0,,,23717.0,,13.1,,4.0,11.6,1192174.0,97.06,110.01,,0.54,7.7,2.47,,,,,,,,,,,,121.0
COF,1997,1998-03-18,0000928385-98-000498,1998-03-18_0000928385-98-000498.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COF,1998,1999-03-26,0000928385-99-000952,1999-03-26_0000928385-99-000952.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
